"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Dasyurus hallucatus","Northern Quoll","Conservation","Pobassoo Island",c(136.448446666456, -11.9127377440565),136.448446666456,-11.9127377440565,1078.19313993484
"Dasyurus hallucatus","Northern Quoll","Conservation","Astell Island",c(136.40822201725, -11.8894234448826),136.40822201725,-11.8894234448826,1077.05672111917
"Bettongia lesueur","Burrowing Bettong","Conservation","Faure Island",c(113.88397565528, -25.8463130251696),113.88397565528,-25.8463130251696,441.092338908108
"Bettongia lesueur","Burrowing Bettong","Conservation","Boodie Island",c(115.323268115191, -20.9601230433338),115.323268115191,-20.9601230433338,125.481936826851
"Lagostrophus fasciatus","Banded Hare Wallaby","Conservation","Faure Island",c(113.88397565528, -25.8463130251696),113.88397565528,-25.8463130251696,121.612450693747
"Potorous gilbertii","Gilbert's Potoroo","Conservation","Bald Island",c(118.45583921865, -34.9210866364039),118.45583921865,-34.9210866364039,25.8738197250807
"Tragelaphus derbianus","Giant Eland","Hunting","Cuba Island",c(-77.9111886280313, 21.205059676725),-77.9111886280313,21.205059676725,10264.4801778263
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","Archipelago Sea",c(20.5374669899511, 60.2528618961802),20.5374669899511,60.2528618961802,6756.98451626417
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","Europe",c(13.3333520584513, 46.2150862425439),13.3333520584513,46.2150862425439,7740.77924509433
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","Amrum Island",c(8.3391259389933, 54.6540779282885),8.3391259389933,54.6540779282885,6787.52537856976
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","Föhr Island",c(8.49806407491815, 54.7181418351102),8.49806407491815,54.7181418351102,6788.90493389844
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","Hooge Island",c(8.54433679053092, 54.5699312718166),8.54433679053092,54.5699312718166,6803.27011710087
"Ondatra zibethicus","Muskrat","Fur Farming, Wild Fur","East Frisian Archipelago",c(7.23059367924996, 53.6956508410926),7.23059367924996,53.6956508410926,6819.70314330766
"Ondatra zibethicus","Muskrat","Fur Farming","West Frisian Archipelago",c(6.23633503578341, 53.493314681403),6.23633503578341,53.493314681403,6792.73364043308
"Suncus murinus","House Shrew","Stowaway","Rodrigues Island",c(63.4209795030751, -19.7136446118714),63.4209795030751,-19.7136446118714,5427.2947505288
