"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Oryctolagus cuniculus","European Rabbit","Fauna Improvement (L)","Dogojima Island",c(133.28043886529, 36.2515876947047),133.28043886529,36.2515876947047,10418.0485780758
"Ovis orientalis","Mouflon","Hunting","Europe",c(15.2100134360201, 59.2059976514025),15.2100134360201,59.2059976514025,NA
"Ovis orientalis","Mouflon","Hunting","Sapientza Island",c(21.7050292324958, 36.7697595526242),21.7050292324958,36.7697595526242,NA
"Petrogale persephone","Proserpine Rock Wallaby","Conservation","Hayman Island",c(148.890407398084, -20.05109923745),148.890407398084,-20.05109923745,63.1276086637096
"Sundasciurus juvencus","Northern Palawan Tree Squirrel","Pet","Apulit Island",c(119.616588615655, 10.9596829748589),119.616588615655,10.9596829748589,115.117348455818
"Tragulus nigricans","Balabac Mouse Deer","Conservation","Apulit Island",c(119.616588615655, 10.9596829748589),119.616588615655,10.9596829748589,426.654776765884
"Tragulus nigricans","Balabac Mouse Deer","Conservation","Calauit Island",c(119.896563531852, 12.3006222887317),119.896563531852,12.3006222887317,564.534823226531
"Herpestes fuscus","Brown Mongoose","Zoo","Viti Levu Island",c(177.972171848089, -17.8359516799443),177.972171848089,-17.8359516799443,11339.805990453
"Didelphis virginiana","Virginia Opossum","Hunting, Wild Fur","Hornby Island",c(-124.662544308789, 49.5253387705081),-124.662544308789,49.5253387705081,3191.62047215392
"Didelphis virginiana","Virginia Opossum","Hunting, Wild Fur","Vancouver Island",c(-124.240888530602, 48.8456203042857),-124.240888530602,48.8456203042857,3132.23913759148
"Chaetophractus villosus","Large Hairy Armadillo","Fauna Improvement, Hunting","Tierra del Fuego Main Island",c(-68.2138210144288, -53.5069700148841),-68.2138210144288,-53.5069700148841,1980.65085789261
"Erinaceus roumanicus","Northern White-breasted Hedgehog","Pet (L)","Agios Efstratios Island",c(25.0051319080774, 39.5187132365852),25.0051319080774,39.5187132365852,1959.85115295393
