"Species1","Species2","n_virus"
"Allochrocebus preussi","Cricetomys emini",1
"Allochrocebus preussi","Cricetomys gambianus",1
"Allochrocebus preussi","Crocidura littoralis",1
"Allochrocebus preussi","Cynomys gunnisoni",1
"Allochrocebus preussi","Cynomys leucurus",1
"Allochrocebus preussi","Cynomys ludovicianus",1
"Allochrocebus preussi","Cynomys mexicanus",1
"Allochrocebus preussi","Cynomys parvidens",1
"Allochrocebus preussi","Didelphis marsupialis",1
"Allochrocebus preussi","Dryomys laniger",1
"Allochrocebus preussi","Dryomys nitedula",1
"Allochrocebus preussi","Eliomys melanurus",1
"Allochrocebus preussi","Eliomys quercinus",1
"Allochrocebus preussi","Funisciurus anerythrus",1
"Allochrocebus preussi","Funisciurus carruthersi",1
"Allochrocebus preussi","Funisciurus congicus",1
"Allochrocebus preussi","Funisciurus lemniscatus",1
"Allochrocebus preussi","Funisciurus pyrropus",1
"Allochrocebus preussi","Glirulus japonicus",1
"Allochrocebus preussi","Glis glis",1
"Allochrocebus preussi","Gorilla gorilla",1
"Allochrocebus preussi","Graphiurus kelleni",1
"Allochrocebus preussi","Graphiurus lorraineus",1
"Allochrocebus preussi","Graphiurus microtis",1
"Allochrocebus preussi","Graphiurus murinus",1
"Allochrocebus preussi","Graphiurus ocularis",1
"Allochrocebus preussi","Graphiurus platyops",1
"Allochrocebus preussi","Heliosciurus gambianus",1
"Allochrocebus preussi","Heliosciurus rufobrachium",1
"Allochrocebus preussi","Heliosciurus ruwenzorii",1
"Allochrocebus preussi","Heliosciurus undulatus",1
"Allochrocebus preussi","Hybomys lunaris",1
"Allochrocebus preussi","Hybomys univittatus",1
"Allochrocebus preussi","Hylobates lar",1
"Allochrocebus preussi","Macaca arctoides",1
"Allochrocebus preussi","Macaca assamensis",1
"Allochrocebus preussi","Macaca cyclopis",1
"Allochrocebus preussi","Macaca fascicularis",1
"Allochrocebus preussi","Macaca fuscata",1
"Allochrocebus preussi","Macaca hecki",1
"Allochrocebus preussi","Macaca maura",1
"Allochrocebus preussi","Macaca munzala",1
"Allochrocebus preussi","Macaca nemestrina",1
"Allochrocebus preussi","Macaca nigra",1
"Allochrocebus preussi","Macaca nigrescens",1
"Allochrocebus preussi","Macaca ochreata",1
"Allochrocebus preussi","Macaca pagensis",1
"Allochrocebus preussi","Macaca radiata",1
"Allochrocebus preussi","Macaca silenus",1
"Allochrocebus preussi","Macaca sinica",1
"Allochrocebus preussi","Macaca sylvanus",1
"Allochrocebus preussi","Macaca thibetana",1
"Allochrocebus preussi","Macaca tonkeana",1
