"Species1","Species2","n_virus"
"Artibeus planirostris","Rhinolophus pusillus",1
"Artibeus planirostris","Rhinolophus simulator",1
"Artibeus planirostris","Rhinolophus sinicus",1
"Artibeus planirostris","Rhinolophus thomasi",1
"Artibeus planirostris","Rousettus leschenaultii",1
"Artibeus planirostris","Scotophilus kuhlii",1
"Artibeus planirostris","Sturnira lilium",1
"Artibeus planirostris","Taphozous melanopogon",1
"Aselliscus stoliczkanus","Carollia perspicillata",1
"Aselliscus stoliczkanus","Desmodus rotundus",1
"Aselliscus stoliczkanus","Dobsonia moluccensis",1
"Aselliscus stoliczkanus","Eidolon helvum",1
"Aselliscus stoliczkanus","Hipposideros larvatus",1
"Aselliscus stoliczkanus","Hipposideros pomona",1
"Aselliscus stoliczkanus","Miniopterus schreibersii",1
"Aselliscus stoliczkanus","Molossus molossus",1
"Aselliscus stoliczkanus","Myotis daubentonii",1
"Aselliscus stoliczkanus","Myotis davidii",1
"Aselliscus stoliczkanus","Myotis horsfieldii",1
"Aselliscus stoliczkanus","Myotis pequinius",1
"Aselliscus stoliczkanus","Pipistrellus pipistrellus",1
"Aselliscus stoliczkanus","Pteronotus parnellii",1
"Aselliscus stoliczkanus","Rhinolophus affinis",1
"Aselliscus stoliczkanus","Rhinolophus blasii",1
"Aselliscus stoliczkanus","Rhinolophus ferrumequinum",1
"Aselliscus stoliczkanus","Rhinolophus pearsonii",1
"Aselliscus stoliczkanus","Rhinolophus pusillus",1
"Aselliscus stoliczkanus","Rhinolophus simulator",1
"Aselliscus stoliczkanus","Rhinolophus sinicus",1
"Aselliscus stoliczkanus","Rhinolophus thomasi",1
"Aselliscus stoliczkanus","Rousettus leschenaultii",1
"Aselliscus stoliczkanus","Scotophilus kuhlii",1
"Aselliscus stoliczkanus","Sturnira lilium",1
"Aselliscus stoliczkanus","Taphozous melanopogon",1
"Callimico goeldii","Chlorocebus aethiops",1
"Callimico goeldii","Chlorocebus pygerythrus",1
"Callimico goeldii","Macaca cyclopis",1
"Callimico goeldii","Macaca fascicularis",1
"Callimico goeldii","Macaca fuscata",1
"Callimico goeldii","Macaca mulatta",1
"Callimico goeldii","Macaca nemestrina",1
"Callimico goeldii","Macaca sylvanus",1
"Callimico goeldii","Macaca tonkeana",1
"Callimico goeldii","Papio anubis",1
"Callimico goeldii","Papio hamadryas",1
"Callimico goeldii","Papio ursinus",1
"Callimico goeldii","Saimiri sciureus",1
"Carollia perspicillata","Desmodus rotundus",1
"Carollia perspicillata","Dobsonia moluccensis",1
"Carollia perspicillata","Eidolon helvum",1
"Carollia perspicillata","Hipposideros larvatus",1
"Carollia perspicillata","Hipposideros pomona",1
"Carollia perspicillata","Miniopterus schreibersii",1
"Carollia perspicillata","Molossus molossus",1
"Carollia perspicillata","Myotis daubentonii",1
"Carollia perspicillata","Myotis davidii",1
"Carollia perspicillata","Myotis horsfieldii",1
"Carollia perspicillata","Myotis pequinius",1
"Carollia perspicillata","Pipistrellus pipistrellus",1
"Carollia perspicillata","Pteronotus parnellii",1
"Carollia perspicillata","Rhinolophus affinis",1
"Carollia perspicillata","Rhinolophus blasii",1
"Carollia perspicillata","Rhinolophus ferrumequinum",1
"Carollia perspicillata","Rhinolophus pearsonii",1
"Carollia perspicillata","Rhinolophus pusillus",1
"Carollia perspicillata","Rhinolophus simulator",1
"Carollia perspicillata","Rhinolophus sinicus",1
"Carollia perspicillata","Rhinolophus thomasi",1
"Carollia perspicillata","Rousettus leschenaultii",1
"Carollia perspicillata","Scotophilus kuhlii",1
"Carollia perspicillata","Sturnira lilium",1
"Carollia perspicillata","Taphozous melanopogon",1
"Chlorocebus aethiops","Chlorocebus cynosuros",1
"Chlorocebus aethiops","Chlorocebus djamdjamensis",1
"Chlorocebus aethiops","Chlorocebus pygerythrus",2
"Chlorocebus aethiops","Chlorocebus sabaeus",1
"Chlorocebus aethiops","Chlorocebus tantalus",1
"Chlorocebus aethiops","Macaca cyclopis",1
"Chlorocebus aethiops","Macaca fascicularis",1
"Chlorocebus aethiops","Macaca fuscata",1
"Chlorocebus aethiops","Macaca mulatta",1
"Chlorocebus aethiops","Macaca nemestrina",1
"Chlorocebus aethiops","Macaca sylvanus",1
"Chlorocebus aethiops","Macaca tonkeana",1
"Chlorocebus aethiops","Papio anubis",1
"Chlorocebus aethiops","Papio hamadryas",1
"Chlorocebus aethiops","Papio ursinus",1
"Chlorocebus aethiops","Saimiri sciureus",1
"Chlorocebus cynosuros","Chlorocebus djamdjamensis",1
"Chlorocebus cynosuros","Chlorocebus pygerythrus",1
"Chlorocebus cynosuros","Chlorocebus sabaeus",1
"Chlorocebus cynosuros","Chlorocebus tantalus",1
"Chlorocebus djamdjamensis","Chlorocebus pygerythrus",1
"Chlorocebus djamdjamensis","Chlorocebus sabaeus",1
"Chlorocebus djamdjamensis","Chlorocebus tantalus",1
"Chlorocebus pygerythrus","Chlorocebus sabaeus",1
"Chlorocebus pygerythrus","Chlorocebus tantalus",1
"Chlorocebus pygerythrus","Macaca cyclopis",1
"Chlorocebus pygerythrus","Macaca fascicularis",1
"Chlorocebus pygerythrus","Macaca fuscata",1
