"Species1","Species2","n_virus"
"Alcelaphus buselaphus","Elephas maximus",1
"Alcelaphus buselaphus","Erinaceus europaeus",1
"Alcelaphus buselaphus","Eudorcas thomsonii",1
"Alcelaphus buselaphus","Gazella arabica",1
"Alcelaphus buselaphus","Gazella bennettii",1
"Alcelaphus buselaphus","Gazella dorcas",1
"Alcelaphus buselaphus","Gazella gazella",1
"Alcelaphus buselaphus","Gazella subgutturosa",1
"Alcelaphus buselaphus","Giraffa camelopardalis",1
"Alcelaphus buselaphus","Helarctos malayanus",1
"Alcelaphus buselaphus","Hippotragus equinus",1
"Alcelaphus buselaphus","Hippotragus niger",1
"Alcelaphus buselaphus","Kobus ellipsiprymnus",1
"Alcelaphus buselaphus","Loxodonta africana",1
"Alcelaphus buselaphus","Macropus giganteus",1
"Alcelaphus buselaphus","Muntiacus muntjak",1
"Alcelaphus buselaphus","Nanger granti",1
"Alcelaphus buselaphus","Odocoileus virginianus",1
"Alcelaphus buselaphus","Oryx gazella",1
"Alcelaphus buselaphus","Oryx leucoryx",1
"Alcelaphus buselaphus","Ovis vignei",1
"Alcelaphus buselaphus","Phacochoerus aethiopicus",1
"Alcelaphus buselaphus","Potamochoerus porcus",1
"Alcelaphus buselaphus","Procapra gutturosa",1
"Alcelaphus buselaphus","Raphicerus sharpei",1
"Alcelaphus buselaphus","Redunca arundinum",1
"Alcelaphus buselaphus","Rusa unicolor",1
"Alcelaphus buselaphus","Saiga tatarica",1
"Alcelaphus buselaphus","Sus scrofa",1
"Alcelaphus buselaphus","Sylvicapra grimmia",1
"Alcelaphus buselaphus","Syncerus caffer",1
"Alcelaphus buselaphus","Tragelaphus imberbis",1
"Alcelaphus buselaphus","Tragelaphus oryx",1
"Alcelaphus buselaphus","Tragelaphus scriptus",1
"Alcelaphus buselaphus","Tragelaphus strepsiceros",1
"Alcelaphus buselaphus","Ursus thibetanus",1
"Alcelaphus buselaphus","Vicugna vicugna",1
"Antidorcas marsupialis","Antilope cervicapra",1
"Antidorcas marsupialis","Axis axis",1
"Antidorcas marsupialis","Bison bison",1
"Antidorcas marsupialis","Blastocerus dichotomus",1
"Antidorcas marsupialis","Bos gaurus",1
"Antidorcas marsupialis","Bos mutus",1
"Antidorcas marsupialis","Boselaphus tragocamelus",1
