"Species1","Species2","n_virus"
"Alcelaphus buselaphus","Ammotragus lervia",1
"Alcelaphus buselaphus","Antilocapra americana",1
"Alcelaphus buselaphus","Bison bison",2
"Alcelaphus buselaphus","Bison bonasus",2
"Alcelaphus buselaphus","Bos mutus",1
"Alcelaphus buselaphus","Capra ibex",1
"Alcelaphus buselaphus","Capreolus capreolus",3
"Alcelaphus buselaphus","Cephalophus dorsalis",1
"Alcelaphus buselaphus","Cephalophus leucogaster",1
"Alcelaphus buselaphus","Cephalophus nigrifrons",1
"Alcelaphus buselaphus","Cephalophus weynsi",1
"Alcelaphus buselaphus","Ceratotherium simum",1
"Alcelaphus buselaphus","Dama dama",2
"Alcelaphus buselaphus","Diceros bicornis",1
"Alcelaphus buselaphus","Elephas maximus",2
"Alcelaphus buselaphus","Giraffa camelopardalis",1
"Alcelaphus buselaphus","Hippopotamus amphibius",1
"Alcelaphus buselaphus","Hippotragus equinus",2
"Alcelaphus buselaphus","Hippotragus niger",1
"Alcelaphus buselaphus","Kobus ellipsiprymnus",3
"Alcelaphus buselaphus","Kobus kob",1
"Alcelaphus buselaphus","Kobus leche",1
"Alcelaphus buselaphus","Mustela putorius",1
"Alcelaphus buselaphus","Nanger granti",1
"Alcelaphus buselaphus","Neovison vison",1
"Alcelaphus buselaphus","Odocoileus hemionus",2
"Alcelaphus buselaphus","Odocoileus virginianus",2
"Alcelaphus buselaphus","Ovis canadensis",2
"Alcelaphus buselaphus","Rangifer tarandus",2
"Alcelaphus buselaphus","Redunca arundinum",2
"Alcelaphus buselaphus","Rupicapra rupicapra",2
"Alcelaphus buselaphus","Syncerus caffer",3
"Alcelaphus buselaphus","Tragelaphus angasii",1
"Alcelaphus buselaphus","Tragelaphus oryx",1
"Alcelaphus buselaphus","Tragelaphus scriptus",1
"Alcelaphus buselaphus","Tragelaphus strepsiceros",2
"Alcelaphus buselaphus","Phacochoerus aethiopicus",1
"Alcelaphus buselaphus","Axis axis",1
"Alcelaphus buselaphus","Axis porcinus",1
"Alcelaphus buselaphus","Bos gaurus",1
"Alcelaphus buselaphus","Bos javanicus",1
"Alcelaphus buselaphus","Cervus nippon",1
"Alcelaphus buselaphus","Elaphurus davidianus",1
"Alcelaphus buselaphus","Kobus megaceros",1
"Alcelaphus buselaphus","Mazama gouazoubira",1
"Alcelaphus buselaphus","Muntiacus reevesi",1
"Alcelaphus buselaphus","Oryx gazella",1
"Alcelaphus buselaphus","Ovibos moschatus",1
"Alcelaphus buselaphus","Ovis dalli",1
"Alcelaphus buselaphus","Rucervus duvaucelii",1
"Alcelaphus buselaphus","Rusa alfredi",1
"Alcelaphus buselaphus","Rusa timorensis",1
"Alcelaphus buselaphus","Rusa unicolor",1
"Alcelaphus buselaphus","Tragelaphus spekii",1
"Alces alces","Ammotragus lervia",2
"Alces alces","Antilocapra americana",2
"Alces alces","Axis porcinus",2
"Alces alces","Bison bison",3
"Alces alces","Bos javanicus",3
"Alces alces","Capreolus capreolus",4
"Alces alces","Cephalophus rufilatus",1
"Alces alces","Cervus elaphus",3
"Alces alces","Cervus nippon",3
"Alces alces","Connochaetes gnou",1
"Alces alces","Connochaetes taurinus",2
"Alces alces","Dama dama",2
"Alces alces","Elaphurus davidianus",2
"Alces alces","Hippotragus equinus",3
"Alces alces","Hydropotes inermis",1
"Alces alces","Kobus ellipsiprymnus",3
"Alces alces","Kobus megaceros",2
"Alces alces","Litocranius walleri",1
"Alces alces","Odocoileus hemionus",3
"Alces alces","Odocoileus virginianus",4
"Alces alces","Oryx gazella",2
"Alces alces","Ovibos moschatus",2
"Alces alces","Ovis canadensis",3
"Alces alces","Ovis dalli",2
"Alces alces","Rangifer tarandus",3
"Alces alces","Rucervus duvaucelii",2
"Alces alces","Syncerus caffer",3
"Alces alces","Tragelaphus spekii",2
"Alces alces","Tragelaphus strepsiceros",3
"Alces alces","Bison bonasus",2
"Alces alces","Bos mutus",1
"Alces alces","Capra ibex",2
"Alces alces","Cephalophus dorsalis",1
"Alces alces","Cephalophus leucogaster",1
"Alces alces","Cephalophus nigrifrons",1
"Alces alces","Cephalophus weynsi",1
"Alces alces","Ceratotherium simum",1
"Alces alces","Damaliscus lunatus",1
"Alces alces","Diceros bicornis",1
"Alces alces","Elephas maximus",1
"Alces alces","Giraffa camelopardalis",1
"Alces alces","Hippopotamus amphibius",1
"Alces alces","Hippotragus niger",1
"Alces alces","Kobus kob",1
"Alces alces","Kobus leche",1
"Alces alces","Mustela putorius",1
"Alces alces","Nanger granti",1
"Alces alces","Neovison vison",1
"Alces alces","Redunca arundinum",1
"Alces alces","Rupicapra rupicapra",1
"Alces alces","Tragelaphus angasii",1
"Alces alces","Tragelaphus oryx",1
"Alces alces","Tragelaphus scriptus",1
"Alces alces","Rusa alfredi",2
"Alces alces","Axis axis",1
"Alces alces","Bos gaurus",1
"Alces alces","Mazama gouazoubira",1
"Alces alces","Muntiacus reevesi",1
"Alces alces","Rusa timorensis",1
"Alces alces","Rusa unicolor",1
"Allenopithecus nigroviridis","Allochrocebus preussi",1
"Allenopithecus nigroviridis","Cercopithecus ascanius",1
"Allenopithecus nigroviridis","Cercopithecus cephus",1
"Allenopithecus nigroviridis","Cercopithecus mitis",1
"Allenopithecus nigroviridis","Cercopithecus mona",1
"Allenopithecus nigroviridis","Cercopithecus neglectus",1
"Allenopithecus nigroviridis","Cercopithecus nictitans",1
"Allenopithecus nigroviridis","Chlorocebus aethiops",1
"Allenopithecus nigroviridis","Chlorocebus pygerythrus",1
"Allenopithecus nigroviridis","Chlorocebus tantalus",1
"Allenopithecus nigroviridis","Colobus angolensis",1
"Allenopithecus nigroviridis","Erythrocebus patas",1
"Allenopithecus nigroviridis","Gorilla beringei",1
"Allenopithecus nigroviridis","Lophocebus albigena",1
"Allenopithecus nigroviridis","Lophocebus aterrimus",1
"Allenopithecus nigroviridis","Macaca nemestrina",1
"Allenopithecus nigroviridis","Mandrillus leucophaeus",1
"Allenopithecus nigroviridis","Mandrillus sphinx",1
"Allenopithecus nigroviridis","Papio anubis",1
