"Native_Species","Alien_Species","Cells_Native","Cells_Alien","Union_Cells","Overlapping_Cells"
"Canis aureus","Ammotragus lervia",473410,17,473417,10
"Canis lupus","Ammotragus lervia",3440898,17,3440905,10
"Lutra lutra","Ammotragus lervia",1710166,17,1710173,10
"Martes foina","Ammotragus lervia",482970,17,482970,17
"Martes martes","Ammotragus lervia",486442,17,486442,17
"Meles meles","Ammotragus lervia",599196,17,599196,17
"Mustela erminea","Ammotragus lervia",2854024,17,2854034,7
"Mustela nivalis","Ammotragus lervia",3056825,17,3056825,17
"Mustela putorius","Ammotragus lervia",393166,17,393166,17
"Vulpes vulpes","Ammotragus lervia",2913350,17,2913350,17
"Capreolus capreolus","Ammotragus lervia",413803,17,413803,17
"Cervus elaphus","Ammotragus lervia",260445,17,260455,7
"Sus scrofa","Ammotragus lervia",1451051,17,1451052,16
"Barbastella barbastellus","Ammotragus lervia",141987,17,141997,7
"Eptesicus serotinus","Ammotragus lervia",565346,17,565346,17
"Hypsugo savii","Ammotragus lervia",208888,17,208888,17
"Miniopterus schreibersii","Ammotragus lervia",77870,17,77886,1
"Myotis nattereri","Ammotragus lervia",52885,17,52901,1
"Acinonyx jubatus","Beatragus hunteri",126043,65,126043,65
"Aonyx capensis","Beatragus hunteri",446078,65,446098,45
"Atilax paludinosus","Beatragus hunteri",542679,65,542699,45
"Canis adustus","Beatragus hunteri",434761,65,434761,65
"Canis mesomelas","Beatragus hunteri",269195,65,269195,65
"Caracal caracal","Beatragus hunteri",726152,65,726152,65
"Civettictis civetta","Beatragus hunteri",584129,65,584160,34
"Crocuta crocuta","Beatragus hunteri",565055,65,565055,65
"Felis silvestris","Beatragus hunteri",1245541,65,1245541,65
"Genetta genetta","Beatragus hunteri",454158,65,454186,37
"Genetta maculata","Beatragus hunteri",456462,65,456487,40
"Helogale hirtula","Beatragus hunteri",29138,65,29138,65
"Helogale parvula","Beatragus hunteri",241224,65,241224,65
"Herpestes ichneumon","Beatragus hunteri",599956,65,599956,65
"Herpestes sanguineus","Beatragus hunteri",675837,65,675837,65
"Hyaena hyaena","Beatragus hunteri",1017707,65,1017707,65
"Ichneumia albicauda","Beatragus hunteri",584304,65,584304,65
"Ictonyx striatus","Beatragus hunteri",598560,65,598560,65
"Leptailurus serval","Beatragus hunteri",513617,65,513617,65
"Lycaon pictus","Beatragus hunteri",53761,65,53761,65
"Mellivora capensis","Beatragus hunteri",1005324,65,1005351,38
"Mungos mungo","Beatragus hunteri",401331,65,401331,65
"Otocyon megalotis","Beatragus hunteri",204530,65,204530,65
"Panthera leo","Beatragus hunteri",71193,65,71193,65
"Panthera pardus","Beatragus hunteri",360065,65,360065,65
"Proteles cristata","Beatragus hunteri",247981,65,247981,65
"Aepyceros melampus","Beatragus hunteri",124607,65,124607,65
"Alcelaphus buselaphus","Beatragus hunteri",277273,65,277273,65
"Giraffa camelopardalis","Beatragus hunteri",67847,65,67891,21
"Hippopotamus amphibius","Beatragus hunteri",53466,65,53468,63
"Kobus ellipsiprymnus","Beatragus hunteri",356433,65,356433,65
"Litocranius walleri","Beatragus hunteri",52804,65,52828,41
"Madoqua kirkii","Beatragus hunteri",32349,65,32372,42
"Nanger granti","Beatragus hunteri",30893,65,30893,65
"Nesotragus moschatus","Beatragus hunteri",51803,65,51829,39
"Oryx beisa","Beatragus hunteri",38932,65,38932,65
"Ourebia ourebi","Beatragus hunteri",263485,65,263537,13
"Phacochoerus aethiopicus","Beatragus hunteri",12591,65,12649,7
"Phacochoerus africanus","Beatragus hunteri",402712,65,402712,65
"Raphicerus campestris","Beatragus hunteri",171646,65,171646,65
"Redunca redunca","Beatragus hunteri",216305,65,216305,65
"Sylvicapra grimmia","Beatragus hunteri",552324,65,552324,65
"Syncerus caffer","Beatragus hunteri",343840,65,343840,65
"Tragelaphus imberbis","Beatragus hunteri",53730,65,53753,42
"Tragelaphus oryx","Beatragus hunteri",280452,65,280452,65
"Tragelaphus scriptus","Beatragus hunteri",482331,65,482331,65
"Cardioderma cor","Beatragus hunteri",55688,65,55713,40
"Chaerephon bemmeleni","Beatragus hunteri",15478,65,15541,2
"Chaerephon bivittatus","Beatragus hunteri",60485,65,60509,41
"Chaerephon pumilus","Beatragus hunteri",227354,65,227379,40
"Coleura afra","Beatragus hunteri",87146,65,87169,42
"Eidolon helvum","Beatragus hunteri",386074,65,386101,38
"Epomophorus minor","Beatragus hunteri",78693,65,78693,65
"Epomophorus wahlbergi","Beatragus hunteri",170375,65,170401,39
"Glauconycteris variegata","Beatragus hunteri",302777,65,302806,36
"Hipposideros ruber","Beatragus hunteri",314849,65,314871,43
"Kerivoula lanosa","Beatragus hunteri",319724,65,319751,38
"Lavia frons","Beatragus hunteri",250031,65,250059,37
"Lissonycteris angolensis","Beatragus hunteri",346310,65,346310,65
"Macronycteris gigas","Beatragus hunteri",136874,65,136915,24
"Macronycteris vittatus","Beatragus hunteri",148489,65,148517,37
"Mops condylurus","Beatragus hunteri",2621,65,2685,1
"Neoromicia capensis","Beatragus hunteri",462563,65,462565,63
"Neoromicia rendalli","Beatragus hunteri",4824,65,4888,1
"Nycteris aurita","Beatragus hunteri",7832,65,7896,1
"Nycteris hispida","Beatragus hunteri",71334,65,71398,1
"Nycteris thebaica","Beatragus hunteri",376522,65,376525,62
"Nycticeinops schlieffeni","Beatragus hunteri",13181,65,13243,3
"Pipistrellus grandidieri","Beatragus hunteri",1974,65,2036,3
"Rhinolophus eloquens","Beatragus hunteri",1790,65,1854,1
"Rhinolophus fumigatus","Beatragus hunteri",30500,65,30563,2
"Rousettus aegyptiacus","Beatragus hunteri",134602,65,134604,63
"Triaenops persicus","Beatragus hunteri",2355,65,2417,3
"Atelerix albiventris","Beatragus hunteri",122959,65,122962,62
"Crocidura fuscomurina","Beatragus hunteri",180084,65,180087,62
"Crocidura parvipes","Beatragus hunteri",51277,65,51341,1
"Crocidura voi","Beatragus hunteri",4215,65,4278,2
"Suncus lixus","Beatragus hunteri",40799,65,40804,60
"Heterohyrax brucei","Beatragus hunteri",17777,65,17840,2
"Lepus capensis","Beatragus hunteri",277423,65,277467,21
"Elephantulus rufescens","Beatragus hunteri",22118,65,22123,60
"Petrodromus tetradactylus","Beatragus hunteri",16475,65,16538,2
"Ceratotherium simum","Beatragus hunteri",99724,65,99727,62
"Diceros bicornis","Beatragus hunteri",19672,65,19734,3
"Equus quagga","Beatragus hunteri",29443,65,29446,62
"Smutsia temminckii","Beatragus hunteri",192367,65,192370,62
"Otolemur crassicaudatus","Beatragus hunteri",9409,65,9473,1
"Loxodonta africana","Beatragus hunteri",74600,65,74600,65
"Acomys ignitus","Beatragus hunteri",414,65,476,3
"Aethomys chrysophilus","Beatragus hunteri",30999,65,31063,1
"Aethomys hindei","Beatragus hunteri",71704,65,71707,62
"Cricetomys ansorgei","Beatragus hunteri",30585,65,30648,2
"Dasymys incomtus","Beatragus hunteri",207022,65,207075,12
"Gerbilliscus nigricaudus","Beatragus hunteri",5548,65,5612,1
"Gerbilliscus robustus","Beatragus hunteri",82140,65,82142,63
"Graphiurus murinus","Beatragus hunteri",39092,65,39142,15
"Heliophobius argenteocinereus","Beatragus hunteri",5633,65,5639,59
"Mastomys natalensis","Beatragus hunteri",35020,65,35084,1
"Mus minutoides","Beatragus hunteri",152633,65,152668,30
"Paraxerus palliatus","Beatragus hunteri",1838,65,1901,2
"Rattus rattus","Beatragus hunteri",176048,65,176048,65
"Saccostomus mearnsi","Beatragus hunteri",2663,65,2726,2
"Taterillus emini","Beatragus hunteri",78568,65,78573,60
"Thryonomys gregorianus","Beatragus hunteri",5807,65,5853,19
"Orycteropus afer","Beatragus hunteri",553746,65,553749,62
"Lagostrophus fasciatus","Bettongia lesueur",2,7,8,1
"Antrozous pallidus","Boselaphus tragocamelus",94913,31,94918,26
"Artibeus jamaicensis","Boselaphus tragocamelus",53196,31,53201,26
"Chilonatalus macer","Boselaphus tragocamelus",3805,31,3810,26
"Lasiurus insularis","Boselaphus tragocamelus",4100,31,4105,26
"Macrotus waterhousii","Boselaphus tragocamelus",20123,31,20128,26
"Canis lupus","Callosciurus erythraeus",3440898,10,3440906,2
"Conepatus chinga","Callosciurus erythraeus",190857,10,190866,1
"Galictis cuja","Callosciurus erythraeus",321413,10,321422,1
"Herpailurus yagouaroundi","Callosciurus erythraeus",610181,10,610190,1
"Leopardus colocolo","Callosciurus erythraeus",215361,10,215370,1
"Leopardus geoffroyi","Callosciurus erythraeus",164810,10,164819,1
"Lycalopex griseus","Callosciurus erythraeus",83233,10,83242,1
"Lycalopex gymnocercus","Callosciurus erythraeus",105965,10,105974,1
"Lyncodon patagonicus","Callosciurus erythraeus",67663,10,67672,1
"Martes foina","Callosciurus erythraeus",482970,10,482975,5
"Martes martes","Callosciurus erythraeus",486442,10,486447,5
"Meles meles","Callosciurus erythraeus",599196,10,599201,5
"Mustela erminea","Callosciurus erythraeus",2854024,10,2854029,5
"Mustela nivalis","Callosciurus erythraeus",3056825,10,3056830,5
"Mustela putorius","Callosciurus erythraeus",393166,10,393171,5
"Procyon cancrivorus","Callosciurus erythraeus",467299,10,467308,1
"Puma concolor","Callosciurus erythraeus",938256,10,938265,1
"Vulpes vulpes","Callosciurus erythraeus",2913350,10,2913355,5
"Capreolus capreolus","Callosciurus erythraeus",413803,10,413808,5
"Cervus elaphus","Callosciurus erythraeus",260445,10,260450,5
"Cervus nippon","Callosciurus erythraeus",17622,10,17628,4
"Mazama gouazoubira","Callosciurus erythraeus",236488,10,236497,1
"Pecari tajacu","Callosciurus erythraeus",629562,10,629571,1
"Sus scrofa","Callosciurus erythraeus",1451051,10,1451052,9
"Barbastella barbastellus","Callosciurus erythraeus",141987,10,141992,5
"Desmodus rotundus","Callosciurus erythraeus",217354,10,217363,1
"Eptesicus furinalis","Callosciurus erythraeus",501435,10,501444,1
"Eptesicus serotinus","Callosciurus erythraeus",565346,10,565351,5
"Eumops patagonicus","Callosciurus erythraeus",40989,10,40998,1
"Hypsugo savii","Callosciurus erythraeus",208888,10,208893,5
"Lasiurus ega","Callosciurus erythraeus",406041,10,406050,1
"Chaetophractus villosus","Callosciurus erythraeus",82683,10,82692,1
"Canis lupus","Callosciurus finlaysonii",3440898,1,3440898,1
"Lutra lutra","Callosciurus finlaysonii",1710166,1,1710166,1
"Martes foina","Callosciurus finlaysonii",482970,1,482970,1
"Martes martes","Callosciurus finlaysonii",486442,1,486442,1
"Meles meles","Callosciurus finlaysonii",599196,1,599196,1
"Mustela nivalis","Callosciurus finlaysonii",3056825,1,3056825,1
"Mustela putorius","Callosciurus finlaysonii",393166,1,393166,1
"Vulpes vulpes","Callosciurus finlaysonii",2913350,1,2913350,1
"Capreolus capreolus","Callosciurus finlaysonii",413803,1,413803,1
"Sus scrofa","Callosciurus finlaysonii",1451051,1,1451051,1
"Barbastella barbastellus","Callosciurus finlaysonii",141987,1,141987,1
"Eptesicus serotinus","Callosciurus finlaysonii",565346,1,565346,1
"Hypsugo savii","Callosciurus finlaysonii",208888,1,208888,1
"Canis aureus","Capra ibex",473410,58,473442,26
"Canis lupus","Capra ibex",3440898,58,3440898,58
"Felis silvestris","Capra ibex",1245541,58,1245543,56
"Lutra lutra","Capra ibex",1710166,58,1710166,58
"Lynx lynx","Capra ibex",1473126,58,1473167,17
"Martes foina","Capra ibex",482970,58,482981,47
"Martes martes","Capra ibex",486442,58,486457,43
"Meles meles","Capra ibex",599196,58,599196,58
"Mustela erminea","Capra ibex",2854024,58,2854065,17
"Mustela nivalis","Capra ibex",3056825,58,3056825,58
"Mustela putorius","Capra ibex",393166,58,393166,58
"Ursus arctos","Capra ibex",1937891,58,1937908,41
"Vormela peregusna","Capra ibex",390358,58,390376,40
"Vulpes vulpes","Capra ibex",2913350,58,2913350,58
"Capreolus capreolus","Capra ibex",413803,58,413803,58
"Cervus elaphus","Capra ibex",260445,58,260445,58
"Dama dama","Capra ibex",10326,58,10343,41
"Rupicapra rupicapra","Capra ibex",15891,58,15918,31
"Sus scrofa","Capra ibex",1451051,58,1451051,58
"Barbastella barbastellus","Capra ibex",141987,58,142002,43
"Eptesicus nilssonii","Capra ibex",684870,58,684913,15
"Eptesicus serotinus","Capra ibex",565346,58,565346,58
"Hypsugo savii","Capra ibex",208888,58,208888,58
"Miniopterus schreibersii","Capra ibex",77870,58,77916,12
"Myotis brandtii","Capra ibex",210676,58,210703,31
"Myotis nattereri","Capra ibex",52885,58,52909,34
"Plecotus austriacus","Capra ibex",22835,58,22875,18
"Plecotus macrobullaris","Capra ibex",24851,58,24908,1
"Rhinolophus ferrumequinum","Capra ibex",221453,58,221491,20
"Vespertilio murinus","Capra ibex",416915,58,416954,19
"Neomys fodiens","Capra ibex",198461,58,198518,1
"Sorex alpinus","Capra ibex",500,58,556,2
"Talpa europaea","Capra ibex",60434,58,60488,4
"Apodemus agrarius","Capra ibex",229784,58,229841,1
"Apodemus sylvaticus","Capra ibex",53818,58,53858,18
"Arvicola amphibius","Capra ibex",263264,58,263307,15
"Microtus agrestis","Capra ibex",391472,58,391529,1
"Microtus arvalis","Capra ibex",54447,58,54500,5
"Canis lupus","Capra sibirica",3440898,392,3440898,392
"Lutra lutra","Capra sibirica",1710166,392,1710555,3
"Lynx lynx","Capra sibirica",1473126,392,1473126,392
"Meles leucurus","Capra sibirica",895780,392,895780,392
"Mustela altaica","Capra sibirica",219882,392,219899,375
"Mustela erminea","Capra sibirica",2854024,392,2854024,392
"Mustela eversmanii","Capra sibirica",615950,392,616296,46
"Mustela nivalis","Capra sibirica",3056825,392,3056825,392
"Mustela sibirica","Capra sibirica",781454,392,781454,392
"Nyctereutes procyonoides","Capra sibirica",321168,392,321559,1
"Otocolobus manul","Capra sibirica",116675,392,116699,368
"Vulpes corsac","Capra sibirica",473496,392,473520,368
"Vulpes vulpes","Capra sibirica",2913350,392,2913350,392
"Alces alces","Capra sibirica",1526569,392,1526875,86
"Capreolus pygargus","Capra sibirica",715542,392,715542,392
"Gazella subgutturosa","Capra sibirica",333486,392,333860,18
"Moschus moschiferus","Capra sibirica",364242,392,364543,91
"Procapra gutturosa","Capra sibirica",40703,392,40951,144
"Sus scrofa","Capra sibirica",1451051,392,1451330,113
"Plecotus ognevi","Capra sibirica",197339,392,197590,141
"Vespertilio murinus","Capra sibirica",416915,392,416949,358
"Crocidura sibirica","Capra sibirica",285189,392,285263,318
"Crocidura suaveolens","Capra sibirica",278686,392,278991,87
"Mesechinus dauuricus","Capra sibirica",90540,392,90640,292
"Neomys fodiens","Capra sibirica",198461,392,198749,104
"Sorex minutissimus","Capra sibirica",249921,392,250251,62
"Sorex tundrensis","Capra sibirica",405271,392,405562,101
"Lepus timidus","Capra sibirica",1063618,392,1063904,106
"Lepus tolai","Capra sibirica",203347,392,203562,177
"Ochotona dauurica","Capra sibirica",33700,392,33936,156
"Allactaga sibirica","Capra sibirica",199754,392,199961,185
"Alticola semicanus","Capra sibirica",17900,392,18120,172
"Apodemus peninsulae","Capra sibirica",331873,392,331943,322
"Cricetulus barabensis","Capra sibirica",55319,392,55534,177
"Ellobius tancrei","Capra sibirica",122494,392,122768,118
"Lasiopodomys brandtii","Capra sibirica",32369,392,32597,164
"Marmota sibirica","Capra sibirica",45479,392,45686,185
"Meriones unguiculatus","Capra sibirica",88085,392,88308,169
"Microtus gregalis","Capra sibirica",89784,392,89978,198
"Microtus oeconomus","Capra sibirica",1013669,392,1014023,38
"Myodes rufocanus","Capra sibirica",753003,392,753273,122
"Myodes rutilus","Capra sibirica",235632,392,235933,91
"Urocitellus undulatus","Capra sibirica",21166,392,21367,191
"Lutra lutra","Capreolus capreolus",1710166,55,1710166,55
"Martes martes","Capreolus capreolus",486442,55,486469,28
"Meles meles","Capreolus capreolus",599196,55,599196,55
"Mustela erminea","Capreolus capreolus",2854024,55,2854024,55
"Vulpes vulpes","Capreolus capreolus",2913350,55,2913350,55
"Cervus elaphus","Capreolus capreolus",260445,55,260445,55
"Myotis mystacinus","Capreolus capreolus",50823,55,50852,26
"Myotis nattereri","Capreolus capreolus",52885,55,52899,41
"Erinaceus europaeus","Capreolus capreolus",11979,55,12032,2
"Sorex minutus","Capreolus capreolus",461791,55,461830,16
"Lepus timidus","Capreolus capreolus",1063618,55,1063651,22
"Apodemus sylvaticus","Capreolus capreolus",53818,55,53841,32
"Canis lupus","Castor canadensis",3440898,2380,3441430,1848
"Conepatus humboldtii","Castor canadensis",18355,2380,20692,43
"Felis silvestris","Castor canadensis",1245541,2380,1247561,360
"Gulo gulo","Castor canadensis",998329,2380,999566,1143
"Lutra lutra","Castor canadensis",1710166,2380,1710898,1648
"Lycalopex culpaeus","Castor canadensis",123584,2380,125811,153
"Lycalopex griseus","Castor canadensis",83233,2380,85405,208
"Lynx lynx","Castor canadensis",1473126,2380,1473858,1648
"Martes foina","Castor canadensis",482970,2380,484847,503
"Martes martes","Castor canadensis",486442,2380,488356,466
"Martes zibellina","Castor canadensis",666216,2380,667020,1576
"Meles meles","Castor canadensis",599196,2380,601073,503
"Mustela erminea","Castor canadensis",2854024,2380,2854252,2152
"Mustela nivalis","Castor canadensis",3056825,2380,3057054,2151
"Mustela putorius","Castor canadensis",393166,2380,395043,503
"Puma concolor","Castor canadensis",938256,2380,940435,201
"Ursus americanus","Castor canadensis",712093,2380,714456,17
"Ursus arctos","Castor canadensis",1937891,2380,1938623,1648
"Vulpes vulpes","Castor canadensis",2913350,2380,2913579,2151
"Capreolus capreolus","Castor canadensis",413803,2380,415680,503
"Cervus elaphus","Castor canadensis",260445,2380,262322,503
"Hippocamelus bisulcus","Castor canadensis",6321,2380,8547,154
"Rangifer tarandus","Castor canadensis",1419390,2380,1420198,1572
"Sus scrofa","Castor canadensis",1451051,2380,1452977,454
"Barbastella barbastellus","Castor canadensis",141987,2380,143900,467
"Eptesicus nilssonii","Castor canadensis",684870,2380,687237,13
"Eptesicus serotinus","Castor canadensis",565346,2380,567223,503
"Histiotus magellanicus","Castor canadensis",4319,2380,6689,10
"Histiotus montanus","Castor canadensis",50852,2380,53040,192
"Lasiurus varius","Castor canadensis",13148,2380,15341,187
"Myotis sibiricus","Castor canadensis",99317,2380,101561,136
"Sorex caecutiens","Castor canadensis",187527,2380,189799,108
"Sorex daphaenodon","Castor canadensis",72412,2380,74685,107
"Sorex isodon","Castor canadensis",118558,2380,120832,106
"Sorex minutissimus","Castor canadensis",249921,2380,252132,169
"Lepus timidus","Castor canadensis",1063618,2380,1065680,318
"Ochotona hyperborea","Castor canadensis",88478,2380,90741,117
"Microtus oeconomus","Castor canadensis",1013669,2380,1015720,329
"Myodes rufocanus","Castor canadensis",753003,2380,755059,324
"Myodes rutilus","Castor canadensis",235632,2380,237848,164
"Peromyscus keeni","Castor canadensis",2947,2380,5326,1
"Sciurus vulgaris","Castor canadensis",116243,2380,118516,107
"Urocitellus parryii","Castor canadensis",9280,2380,11496,164
"Ursus americanus","Cervus canadensis",712093,76,712145,24
"Ursus arctos","Cervus canadensis",1937891,76,1937902,65
"Alces alces","Cervus canadensis",1526569,76,1526620,25
"Chalinolobus tuberculatus","Cervus canadensis",6345,76,6417,4
"Peromyscus keeni","Cervus canadensis",2947,76,3020,3
"Canis latrans","Cervus nippon",829752,3015,831753,1014
"Canis lupus","Cervus nippon",3440898,3015,3443321,592
"Canis rufus","Cervus nippon",58,3015,3062,11
"Felis silvestris","Cervus nippon",1245541,3015,1248172,384
"Lontra canadensis","Cervus nippon",261104,3015,263819,300
"Lutra lutra","Cervus nippon",1710166,3015,1711809,1372
"Lynx lynx","Cervus nippon",1473126,3015,1476075,66
"Lynx rufus","Cervus nippon",504411,3015,506406,1020
"Martes foina","Cervus nippon",482970,3015,485061,924
"Martes martes","Cervus nippon",486442,3015,488543,914
"Meles meles","Cervus nippon",599196,3015,600497,1714
"Mephitis mephitis","Cervus nippon",630074,3015,632191,898
"Mustela erminea","Cervus nippon",2854024,3015,2855328,1711
"Mustela frenata","Cervus nippon",377236,3015,379787,464
"Mustela nivalis","Cervus nippon",3056825,3015,3058083,1757
"Mustela putorius","Cervus nippon",393166,3015,395000,1181
"Neovison vison","Cervus nippon",858225,3015,860219,1021
"Procyon lotor","Cervus nippon",488930,3015,490929,1016
"Urocyon cinereoargenteus","Cervus nippon",410015,3015,412005,1025
"Ursus americanus","Cervus nippon",712093,3015,714983,125
"Vulpes vulpes","Cervus nippon",2913350,3015,2914659,1706
"Capreolus capreolus","Cervus nippon",413803,3015,415398,1420
"Cervus elaphus","Cervus nippon",260445,3015,262297,1163
"Muntiacus reevesi","Cervus nippon",78687,3015,81398,304
"Odocoileus virginianus","Cervus nippon",733942,3015,735933,1024
"Rupicapra rupicapra","Cervus nippon",15891,3015,18877,29
"Sus scrofa","Cervus nippon",1451051,3015,1453312,754
"Barbastella barbastellus","Cervus nippon",141987,3015,144110,892
"Chalinolobus tuberculatus","Cervus nippon",6345,3015,9337,23
"Corynorhinus rafinesquii","Cervus nippon",53427,3015,55505,937
"Eptesicus fuscus","Cervus nippon",264187,3015,267200,2
"Eptesicus nilssonii","Cervus nippon",684870,3015,687648,237
"Eptesicus serotinus","Cervus nippon",565346,3015,567223,1138
"Hypsugo savii","Cervus nippon",208888,3015,211789,114
"Lasionycteris noctivagans","Cervus nippon",341359,3015,343428,946
"Lasiurus borealis","Cervus nippon",149710,3015,151799,926
"Lasiurus cinereus","Cervus nippon",637746,3015,639814,947
"Lasiurus seminolus","Cervus nippon",50273,3015,53175,113
"Myotis brandtii","Cervus nippon",210676,3015,213459,232
"Myotis mystacinus","Cervus nippon",50823,3015,53622,216
"Myotis nattereri","Cervus nippon",52885,3015,55487,413
"Myotis septentrionalis","Cervus nippon",5711,3015,8724,2
"Mystacina tuberculata","Cervus nippon",63,3015,3076,2
"Nyctalus leisleri","Cervus nippon",5017,3015,8029,3
"Nycticeius humeralis","Cervus nippon",351,3015,3362,4
"Perimyotis subflavus","Cervus nippon",2401,3015,5415,1
"Pipistrellus kuhlii","Cervus nippon",317221,3015,320231,5
"Pipistrellus nathusii","Cervus nippon",9009,3015,12023,1
"Pipistrellus pygmaeus","Cervus nippon",4449,3015,7462,2
"Plecotus austriacus","Cervus nippon",22835,3015,25846,4
"Rhinolophus ferrumequinum","Cervus nippon",221453,3015,224436,32
"Rhinolophus hipposideros","Cervus nippon",116352,3015,119307,60
"Didelphis virginiana","Cervus nippon",12557,3015,15570,2
"Blarina brevicauda","Cervus nippon",14065,3015,17073,7
"Blarina carolinensis","Cervus nippon",6057,3015,9047,25
"Condylura cristata","Cervus nippon",29977,3015,32984,8
"Cryptotis parva","Cervus nippon",43499,3015,46488,26
"Erinaceus europaeus","Cervus nippon",11979,3015,14895,99
"Neomys fodiens","Cervus nippon",198461,3015,201459,17
"Scalopus aquaticus","Cervus nippon",7309,3015,10319,5
"Sorex longirostris","Cervus nippon",5792,3015,8783,24
"Sorex minutus","Cervus nippon",461791,3015,464657,149
"Talpa europaea","Cervus nippon",60434,3015,63225,224
"Lepus timidus","Cervus nippon",1063618,3015,1066600,33
"Sylvilagus floridanus","Cervus nippon",182823,3015,185561,277
"Sylvilagus palustris","Cervus nippon",1932,3015,4919,28
"Apodemus sylvaticus","Cervus nippon",53818,3015,56534,299
"Arvicola amphibius","Cervus nippon",263264,3015,266269,10
"Castor canadensis","Cervus nippon",36250,3015,39256,9
"Glaucomys volans","Cervus nippon",1251,3015,4262,4
"Micromys minutus","Cervus nippon",588088,3015,590798,305
"Microtus agrestis","Cervus nippon",391472,3015,394328,159
"Microtus pennsylvanicus","Cervus nippon",609439,3015,612190,264
"Ochrotomys nuttalli","Cervus nippon",741,3015,3752,4
"Peromyscus gossypinus","Cervus nippon",7138,3015,10125,28
"Peromyscus leucopus","Cervus nippon",71040,3015,74051,4
"Sciurus carolinensis","Cervus nippon",1024,3015,4036,3
"Sciurus niger","Cervus nippon",661,3015,3669,7
"Lycalopex culpaeus","Chaetophractus villosus",123584,190,123589,185
"Lycalopex griseus","Chaetophractus villosus",83233,190,83235,188
"Lama guanicoe","Chaetophractus villosus",79621,190,79624,187
"Ctenomys magellanicus","Chaetophractus villosus",278,190,465,3
"Reithrodon auritus","Chaetophractus villosus",34614,190,34783,21
"Lutra lutra","Crocidura russula",1710166,75,1710166,75
"Martes martes","Crocidura russula",486442,75,486504,13
"Meles meles","Crocidura russula",599196,75,599196,75
"Mustela erminea","Crocidura russula",2854024,75,2854024,75
"Vulpes vulpes","Crocidura russula",2913350,75,2913350,75
"Myotis mystacinus","Crocidura russula",50823,75,50848,50
"Myotis nattereri","Crocidura russula",52885,75,52903,57
"Rhinolophus hipposideros","Crocidura russula",116352,75,116412,15
"Erinaceus europaeus","Crocidura russula",11979,75,12034,20
"Sorex minutus","Crocidura russula",461791,75,461862,4
"Lepus timidus","Crocidura russula",1063618,75,1063689,4
"Apodemus sylvaticus","Crocidura russula",53818,75,53839,54
"Canis lupus","Dama dama",3440898,1115,3442010,3
"Felis silvestris","Dama dama",1245541,1115,1246514,142
"Herpestes ichneumon","Dama dama",599956,1115,600998,73
"Lutra lutra","Dama dama",1710166,1115,1711208,73
"Martes foina","Dama dama",482970,1115,484009,76
"Martes martes","Dama dama",486442,1115,487475,82
"Meles meles","Dama dama",599196,1115,600235,76
"Mustela nivalis","Dama dama",3056825,1115,3057864,76
"Mustela putorius","Dama dama",393166,1115,394205,76
"Vulpes vulpes","Dama dama",2913350,1115,2914300,165
"Capreolus capreolus","Dama dama",413803,1115,414915,3
"Cervus elaphus","Dama dama",260445,1115,261547,13
"Sus scrofa","Dama dama",1451051,1115,1452058,108
"Artibeus jamaicensis","Dama dama",53196,1115,54218,93
"Barbastella barbastellus","Dama dama",141987,1115,143022,80
"Chalinolobus tuberculatus","Dama dama",6345,1115,7179,281
"Chilonatalus macer","Dama dama",3805,1115,4832,88
"Eptesicus serotinus","Dama dama",565346,1115,566299,162
"Hypsugo savii","Dama dama",208888,1115,209911,92
"Miniopterus schreibersii","Dama dama",77870,1115,78979,6
"Myotis brandtii","Dama dama",210676,1115,211790,1
"Nyctiellus lepidus","Dama dama",14,1115,1128,1
"Pipistrellus kuhlii","Dama dama",317221,1115,318325,11
"Plecotus austriacus","Dama dama",22835,1115,23943,7
"Rhinolophus ferrumequinum","Dama dama",221453,1115,222559,9
"Rhinolophus hipposideros","Dama dama",116352,1115,117460,7
"Tadarida teniotis","Dama dama",81382,1115,82496,1
"Suncus etruscus","Dama dama",78968,1115,80077,6
"Lepus corsicanus","Dama dama",1014,1115,2122,7
"Oryctolagus cuniculus","Dama dama",7616,1115,8710,21
"Apodemus sylvaticus","Dama dama",53818,1115,54925,8
"Capromys pilorides","Dama dama",35,1115,1149,1
"Hystrix cristata","Dama dama",123798,1115,124902,11
"Micromys minutus","Dama dama",588088,1115,589202,1
"Mus spretus","Dama dama",38798,1115,39873,40
"Canis lupus","Didelphis virginiana",3440898,578,3440915,561
"Gulo gulo","Didelphis virginiana",998329,578,998516,391
"Martes americana","Didelphis virginiana",424073,578,424093,558
"Mustela erminea","Didelphis virginiana",2854024,578,2854047,555
"Puma concolor","Didelphis virginiana",938256,578,938290,544
"Ursus americanus","Didelphis virginiana",712093,578,712114,557
"Odocoileus hemionus","Didelphis virginiana",355548,578,355583,543
"Myotis keenii","Didelphis virginiana",729,578,1231,76
"Sorex monticolus","Didelphis virginiana",35200,578,35435,343
"Sorex vagrans","Didelphis virginiana",6672,578,7111,139
"Castor canadensis","Didelphis virginiana",36250,578,36682,146
"Peromyscus keeni","Didelphis virginiana",2947,578,3271,254
"Peromyscus maniculatus","Didelphis virginiana",513806,578,513950,434
"Tamiasciurus hudsonicus","Didelphis virginiana",12798,578,13296,80
"Canis lupus","Eliomys quercinus",3440898,2,3440898,2
"Lutra lutra","Eliomys quercinus",1710166,2,1710166,2
